local_id,x,y,z,rib_index,stringer_index,tag,h,global_id
1283,4.2185096648752,6.48785941780654,0.01,6,16,stringer,extrados,242
1354,4.27547491197007,6.3383436640432,0.01,6,17,stringer,extrados,243
1423,4.33244015906494,6.18882791027985,0.01,6,18,stringer,extrados,244
1489,4.38940540615981,6.03931215651651,0.01,6,19,stringer,extrados,245
1552,4.44637065325468,5.88979640275317,0.01,6,20,stringer,extrados,246
1612,4.50333590034955,5.74028064898982,0.01,6,21,stringer,extrados,247
1669,4.56030114744441,5.59076489522648,0.01,6,22,stringer,extrados,248
1724,4.61726639453928,5.44124914146314,0.01,6,23,stringer,extrados,249
1777,4.67423164163415,5.29173338769979,0.01,6,24,stringer,extrados,250
1827,4.73119688872902,5.14221763393645,0.01,6,25,stringer,extrados,251
1874,4.78816213582389,4.99270188017311,0.01,6,26,stringer,extrados,252
1918,4.84512738291876,4.84318612640977,0.01,6,27,stringer,extrados,253
1959,4.90209263001362,4.69367037264642,0.01,6,28,stringer,extrados,254
1997,4.95905787710849,4.54415461888308,0.01,6,29,stringer,extrados,255
2032,5.01602312420336,4.39463886511974,0.01,6,30,stringer,extrados,256
2065,5.07298837129823,4.24512311135639,0.01,6,31,stringer,extrados,257
2095,5.1299536183931,4.09560735759305,0.01,6,32,stringer,extrados,258
2122,5.18691886548797,3.94609160382971,0.01,6,33,stringer,extrados,259
2146,5.24388411258283,3.79657585006637,0.01,6,34,stringer,extrados,260
2167,5.3008493596777,3.64706009630302,0.01,6,35,stringer,extrados,261
2185,5.35781460677257,3.49754434253968,0.01,6,36,stringer,extrados,262
2200,5.41477985386744,3.34802858877634,0.01,6,37,stringer,extrados,263
2213,5.47174510096231,3.19851283501299,0.01,6,38,stringer,extrados,264
7,3.63413142271463,9.00472295604005,0.01,7,-2,rear spars,extrados,265
7,5.82445398051762,3.2558191082365,0.01,7,-1,front spars,extrados,266
4,3.69109666980949,8.85520720227671,0.01,7,1,stringer,extrados,267
92,3.74806191690436,8.70569144851336,0.01,7,2,stringer,extrados,268
180,3.80502716399923,8.55617569475002,0.01,7,3,stringer,extrados,269
268,3.8619924110941,8.40665994098668,0.01,7,4,stringer,extrados,270
356,3.91895765818897,8.25714418722334,0.01,7,5,stringer,extrados,271
445,3.97592290528384,8.10762843345999,0.01,7,6,stringer,extrados,272
534,4.0328881523787,7.95811267969665,0.01,7,7,stringer,extrados,273
623,4.08985339947357,7.80859692593331,0.01,7,8,stringer,extrados,274
712,4.14681864656844,7.65908117216996,0.01,7,9,stringer,extrados,275
802,4.20378389366331,7.50956541840662,0.01,7,10,stringer,extrados,276
889,4.26074914075818,7.36004966464328,0.01,7,11,stringer,extrados,277
974,4.31771438785305,7.21053391087993,0.01,7,12,stringer,extrados,278
1056,4.37467963494791,7.06101815711659,0.01,7,13,stringer,extrados,279
1135,4.43164488204278,6.91150240335325,0.01,7,14,stringer,extrados,280
1211,4.48861012913765,6.76198664958991,0.01,7,15,stringer,extrados,281
1284,4.54557537623252,6.61247089582656,0.01,7,16,stringer,extrados,282
1355,4.60254062332739,6.46295514206322,0.01,7,17,stringer,extrados,283
1424,4.65950587042226,6.31343938829988,0.01,7,18,stringer,extrados,284
1490,4.71647111751712,6.16392363453653,0.01,7,19,stringer,extrados,285
1553,4.77343636461199,6.01440788077319,0.01,7,20,stringer,extrados,286
1613,4.83040161170686,5.86489212700985,0.01,7,21,stringer,extrados,287
1670,4.88736685880173,5.71537637324651,0.01,7,22,stringer,extrados,288
1725,4.9443321058966,5.56586061948316,0.01,7,23,stringer,extrados,289
1778,5.00129735299146,5.41634486571982,0.01,7,24,stringer,extrados,290
1828,5.05826260008633,5.26682911195648,0.01,7,25,stringer,extrados,291
1875,5.1152278471812,5.11731335819313,0.01,7,26,stringer,extrados,292
1919,5.17219309427607,4.96779760442979,0.01,7,27,stringer,extrados,293
1960,5.22915834137094,4.81828185066645,0.01,7,28,stringer,extrados,294
1998,5.28612358846581,4.66876609690311,0.01,7,29,stringer,extrados,295
2033,5.34308883556067,4.51925034313976,0.01,7,30,stringer,extrados,296
2066,5.40005408265554,4.36973458937642,0.01,7,31,stringer,extrados,297
2096,5.45701932975041,4.22021883561308,0.01,7,32,stringer,extrados,298
2123,5.51398457684528,4.07070308184973,0.01,7,33,stringer,extrados,299
2147,5.57094982394015,3.92118732808639,0.01,7,34,stringer,extrados,300
2168,5.62791507103502,3.77167157432305,0.01,7,35,stringer,extrados,301
2186,5.68488031812988,3.6221558205597,0.01,7,36,stringer,extrados,302
2201,5.74184556522475,3.47264006679636,0.01,7,37,stringer,extrados,303
2214,5.79881081231962,3.32312431303302,0.01,7,38,stringer,extrados,304
8,3.96119713407194,9.12933443406007,0.01,8,-2,rear spars,extrados,305
8,6.13155901641104,3.43282104517334,0.01,8,-1,front spars,extrados,306
5,4.01816238116681,8.97981868029673,0.01,8,1,stringer,extrados,307
