x,y,z
5.17219309427607,4.96779760442979,0.01
5.22915834137094,4.81828185066645,0.01
5.28612358846581,4.66876609690311,0.01
5.34308883556067,4.51925034313976,0.01
5.40005408265554,4.36973458937642,0.01
5.45701932975041,4.22021883561308,0.01
5.51398457684528,4.07070308184973,0.01
5.57094982394015,3.92118732808639,0.01
5.62791507103502,3.77167157432305,0.01
5.68488031812988,3.6221558205597,0.01
5.74184556522475,3.47264006679636,0.01
5.79881081231962,3.32312431303302,0.01
3.96119713407194,9.12933443406007,0.01
6.13155901641104,3.43282104517334,0.01
4.01816238116681,8.97981868029673,0.01
4.07512762826167,8.83030292653339,0.01
4.13209287535654,8.68078717277005,0.01
4.18905812245141,8.5312714190067,0.01
4.24602336954628,8.38175566524336,0.01
4.30298861664115,8.23223991148001,0.01
4.35995386373602,8.08272415771667,0.01
4.41691911083088,7.93320840395333,0.01
4.47388435792575,7.78369265018999,0.01
4.53084960502062,7.63417689642664,0.01
4.58781485211549,7.4846611426633,0.01
4.64478009921036,7.33514538889996,0.01
4.70174534630522,7.18562963513662,0.01
4.75871059340009,7.03611388137327,0.01
4.81567584049496,6.88659812760993,0.01
4.87264108758983,6.73708237384659,0.01
4.9296063346847,6.58756662008324,0.01
4.98657158177957,6.4380508663199,0.01
5.04353682887443,6.28853511255656,0.01
5.1005020759693,6.13901935879321,0.01
5.15746732306417,5.98950360502987,0.01
5.21443257015904,5.83998785126653,0.01
5.27139781725391,5.69047209750319,0.01
5.32836306434878,5.54095634373984,0.01
5.38532831144364,5.3914405899765,0.01
5.44229355853851,5.24192483621316,0.01
5.49925880563338,5.09240908244981,0.01
5.55622405272825,4.94289332868647,0.01
5.61318929982312,4.79337757492313,0.01
5.67015454691798,4.64386182115979,0.01
5.72711979401285,4.49434606739644,0.01
5.78408504110772,4.3448303136331,0.01
5.84105028820259,4.19531455986976,0.01
5.89801553529746,4.04579880610641,0.01
5.95498078239233,3.89628305234307,0.01
6.01194602948719,3.74676729857973,0.01
6.06891127658206,3.59725154481639,0.01
6.12587652367693,3.44773579105304,0.01
4.28826284542925,9.2539459120801,0.01
6.43866405230445,3.60982298211018,0.01
4.34522809252412,9.10443015831675,0.01
4.40219333961899,8.95491440455341,0.01
4.45915858671385,8.80539865079007,0.01
4.51612383380872,8.65588289702673,0.01
4.57308908090359,8.50636714326338,0.01
4.63005432799846,8.35685138950004,0.01
4.68701957509333,8.2073356357367,0.01
4.7439848221882,8.05781988197336,0.01
4.80095006928306,7.90830412821001,0.01
4.85791531637793,7.75878837444667,0.01
4.9148805634728,7.60927262068333,0.01
4.97184581056767,7.45975686691998,0.01
5.02881105766254,7.31024111315664,0.01
5.08577630475741,7.1607253593933,0.01
5.14274155185227,7.01120960562995,0.01
5.19970679894714,6.86169385186661,0.01
5.25667204604201,6.71217809810327,0.01
5.31363729313688,6.56266234433993,0.01
5.37060254023175,6.41314659057658,0.01
5.42756778732662,6.26363083681324,0.01
5.48453303442148,6.1141150830499,0.01
5.54149828151635,5.96459932928655,0.01
5.59846352861122,5.81508357552321,0.01
5.65542877570609,5.66556782175987,0.01
5.71239402280096,5.51605206799653,0.01
5.76935926989583,5.36653631423318,0.01
5.82632451699069,5.21702056046984,0.01
5.88328976408556,5.0675048067065,0.01
5.94025501118043,4.91798905294315,0.01
5.9972202582753,4.76847329917981,0.01
6.05418550537017,4.61895754541647,0.01
6.11115075246503,4.46944179165312,0.01
6.1681159995599,4.31992603788978,0.01
6.22508124665477,4.17041028412644,0.01
6.28204649374964,4.0208945303631,0.01
6.33901174084451,3.87137877659975,0.01
6.39597698793938,3.72186302283641,0.01
4.61532855678656,9.37855739010012,0.01
6.74576908819787,3.78682491904702,0.01
4.67229380388143,9.22904163633678,0.01
4.7292590509763,9.07952588257344,0.01
4.78622429807117,8.93001012881009,0.01
4.84318954516604,8.78049437504675,0.01
4.9001547922609,8.63097862128341,0.01
4.95712003935577,8.48146286752007,0.01
5.01408528645064,8.33194711375672,0.01
5.07105053354551,8.18243135999338,0.01
5.12801578064038,8.03291560623004,0.01
