1333,50,16
1334,51,16
1335,52,16
1336,53,16
1337,54,16
1338,55,16
1339,56,16
1340,57,16
1341,58,16
1342,59,16
1343,60,16
1344,61,16
1345,62,16
1346,63,16
1347,64,16
1348,65,16
1349,66,16
1350,67,16
1351,68,16
1352,69,16
1353,70,16
1354,71,16
1355,72,16
1356,73,16
1357,-2,16
1358,-1,17
1359,3,17
1360,4,17
1361,5,17
1362,6,17
1363,7,17
1364,8,17
1365,9,17
1366,10,17
1367,11,17
1368,12,17
1369,13,17
1370,14,17
1371,15,17
1372,16,17
1373,17,17
1374,18,17
1375,19,17
1376,20,17
1377,21,17
1378,22,17
1379,23,17
1380,24,17
1381,25,17
1382,26,17
1383,27,17
1384,28,17
1385,29,17
1386,30,17
1387,31,17
1388,32,17
1389,33,17
1390,34,17
1391,35,17
1392,36,17
1393,37,17
1394,38,17
1395,39,17
1396,40,17
1397,41,17
1398,42,17
1399,43,17
1400,44,17
1401,45,17
1402,46,17
1403,47,17
1404,48,17
1405,49,17
1406,50,17
1407,51,17
1408,52,17
1409,53,17
1410,54,17
1411,55,17
1412,56,17
1413,57,17
1414,58,17
1415,59,17
1416,60,17
1417,61,17
1418,62,17
1419,63,17
1420,64,17
1421,65,17
1422,66,17
1423,67,17
1424,68,17
1425,69,17
1426,70,17
1427,-2,17
1428,-1,18
1429,3,18
1430,4,18
1431,5,18
1432,6,18
1433,7,18
1434,8,18
1435,9,18
1436,10,18
1437,11,18
1438,12,18
1439,13,18
1440,14,18
1441,15,18
1442,16,18
1443,17,18
1444,18,18
1445,19,18
1446,20,18
1447,21,18
1448,22,18
1449,23,18
1450,24,18
1451,25,18
1452,26,18
1453,27,18
1454,28,18
1455,29,18
1456,30,18
1457,31,18
1458,32,18
1459,33,18
1460,34,18
1461,35,18
1462,36,18
1463,37,18
1464,38,18
1465,39,18
1466,40,18
1467,41,18
1468,42,18
1469,43,18
1470,44,18
1471,45,18
1472,46,18
1473,47,18
1474,48,18
1475,49,18
1476,50,18
1477,51,18
1478,52,18
1479,53,18
1480,54,18
1481,55,18
1482,56,18
1483,57,18
1484,58,18
1485,59,18
1486,60,18
1487,61,18
1488,62,18
1489,63,18
1490,64,18
1491,65,18
1492,66,18
1493,67,18
1494,-2,18
1495,-1,19
1496,2,19
1497,3,19
1498,4,19
1499,5,19
1500,6,19
1501,7,19
1502,8,19
1503,9,19
1504,10,19
1505,11,19
1506,12,19
1507,13,19
1508,14,19
1509,15,19
1510,16,19
1511,17,19
1512,18,19
1513,19,19
1514,20,19
1515,21,19
1516,22,19
1517,23,19
1518,24,19
1519,25,19
1520,26,19
1521,27,19
1522,28,19
1523,29,19
1524,30,19
1525,31,19
1526,32,19
1527,33,19
1528,34,19
1529,35,19
1530,36,19
1531,37,19
1532,38,19
1533,39,19
1534,40,19
1535,41,19
1536,42,19
1537,43,19
1538,44,19
1539,45,19
1540,46,19
1541,47,19
1542,48,19
1543,49,19
1544,50,19
1545,51,19
1546,52,19
1547,53,19
1548,54,19
1549,55,19
1550,56,19
1551,57,19
1552,58,19
1553,59,19
1554,60,19
1555,61,19
1556,62,19
1557,63,19
1558,64,19
1559,65,19
1560,-2,19
1561,-1,20
1562,2,20
1563,3,20
1564,4,20
1565,5,20
1566,6,20
1567,7,20
1568,8,20
1569,9,20
1570,10,20
1571,11,20
1572,12,20
1573,13,20
1574,14,20
1575,15,20
1576,16,20
1577,17,20
1578,18,20
1579,19,20
1580,20,20
1581,21,20
1582,22,20
1583,23,20
1584,24,20
1585,25,20
1586,26,20
1587,27,20
1588,28,20
1589,29,20
1590,30,20
1591,31,20
1592,32,20
1593,33,20
1594,34,20
1595,35,20
1596,36,20
1597,37,20
1598,38,20
1599,39,20
1600,40,20
1601,41,20
1602,42,20
1603,43,20
1604,44,20
1605,45,20
1606,46,20
1607,47,20
1608,48,20
1609,49,20
1610,50,20
1611,51,20
1612,52,20
1613,53,20
1614,54,20
1615,55,20
1616,56,20
1617,57,20
1618,58,20
1619,59,20
1620,60,20
1621,61,20
1622,62,20
1623,-2,20
1624,-1,21
1625,2,21
1626,3,21
1627,4,21
1628,5,21
1629,6,21
1630,7,21
1631,8,21
1632,9,21
1633,10,21
1634,11,21
1635,12,21
1636,13,21
1637,14,21
1638,15,21
1639,16,21
1640,17,21
1641,18,21
1642,19,21
1643,20,21
1644,21,21
1645,22,21
1646,23,21
1647,24,21
1648,25,21
1649,26,21
1650,27,21
1651,28,21
1652,29,21
1653,30,21
1654,31,21
1655,32,21
1656,33,21
1657,34,21
1658,35,21
1659,36,21
1660,37,21
1661,38,21
1662,39,21
1663,40,21
1664,41,21
1665,42,21
1666,43,21
1667,44,21
1668,45,21
1669,46,21
1670,47,21
1671,48,21
1672,49,21
1673,50,21
1674,51,21
1675,52,21
1676,53,21
1677,54,21
1678,55,21
1679,56,21
1680,57,21
1681,58,21
1682,59,21
1683,-2,21
1684,-1,22
1685,2,22
1686,3,22
1687,4,22
1688,5,22
1689,6,22
1690,7,22
1691,8,22
1692,9,22
1693,10,22
1694,11,22
1695,12,22
1696,13,22
1697,14,22
1698,15,22
1699,16,22
1700,17,22
1701,18,22
1702,19,22
1703,20,22
1704,21,22
1705,22,22
1706,23,22
1707,24,22
1708,25,22
1709,26,22
1710,27,22
1711,28,22
1712,29,22
1713,30,22
1714,31,22
1715,32,22
1716,33,22
1717,34,22
1718,35,22
1719,36,22
1720,37,22
1721,38,22
1722,39,22
1723,40,22
1724,41,22
1725,42,22
1726,43,22
1727,44,22
1728,45,22
1729,46,22
1730,47,22
1731,48,22
1732,49,22
1733,50,22
1734,51,22
1735,52,22
1736,53,22
1737,54,22
1738,55,22
1739,56,22
1740,57,22
1741,-2,22
1742,-1,23
1743,2,23
1744,3,23
1745,4,23
1746,5,23
1747,6,23
1748,7,23
1749,8,23
1750,9,23
1751,10,23
1752,11,23
1753,12,23
1754,13,23
1755,14,23
1756,15,23
1757,16,23
1758,17,23
1759,18,23
1760,19,23
1761,20,23
1762,21,23
1763,22,23
1764,23,23
1765,24,23
1766,25,23
1767,26,23
1768,27,23
1769,28,23
1770,29,23
1771,30,23
1772,31,23
1773,32,23
1774,33,23
1775,34,23
1776,35,23
1777,36,23
1778,37,23
1779,38,23
1780,39,23
1781,40,23
1782,41,23
1783,42,23
1784,43,23
1785,44,23
1786,45,23
1787,46,23
1788,47,23
1789,48,23
1790,49,23
1791,50,23
1792,51,23
1793,52,23
1794,53,23
1795,54,23
1796,-2,23
1797,-1,24
1798,2,24
1799,3,24
1800,4,24
1801,5,24
1802,6,24
1803,7,24
1804,8,24
1805,9,24
1806,10,24
1807,11,24
1808,12,24
1809,13,24
1810,14,24
1811,15,24
1812,16,24
1813,17,24
1814,18,24
1815,19,24
1816,20,24
1817,21,24
1818,22,24
1819,23,24
1820,24,24
1821,25,24
1822,26,24
1823,27,24
1824,28,24
1825,29,24
1826,30,24
1827,31,24
1828,32,24
1829,33,24
1830,34,24
1831,35,24
1832,36,24
1833,37,24
1834,38,24
1835,39,24
1836,40,24
1837,41,24
1838,42,24
1839,43,24
1840,44,24
1841,45,24
1842,46,24
1843,47,24
1844,48,24
1845,49,24
1846,50,24
1847,51,24
1848,-2,24
1849,-1,25
1850,1,25
1851,2,25
1852,3,25
1853,4,25
1854,5,25
1855,6,25
1856,7,25
1857,8,25
1858,9,25
1859,10,25
1860,11,25
1861,12,25
1862,13,25
1863,14,25
1864,15,25
1865,16,25
1866,17,25
1867,18,25
1868,19,25
1869,20,25
1870,21,25
1871,22,25
1872,23,25
1873,24,25
1874,25,25
1875,26,25
1876,27,25
1877,28,25
1878,29,25
1879,30,25
1880,31,25
1881,32,25
1882,33,25
1883,34,25
1884,35,25
1885,36,25
1886,37,25
1887,38,25
1888,39,25
1889,40,25
1890,41,25
1891,42,25
1892,43,25
1893,44,25
1894,45,25
1895,46,25
1896,47,25
1897,48,25
1898,49,25
1899,-2,25
1900,-1,26
1901,1,26
1902,2,26
1903,3,26
1904,4,26
1905,5,26
1906,6,26
1907,7,26
1908,8,26
1909,9,26
1910,10,26
1911,11,26
1912,12,26
1913,13,26
1914,14,26
1915,15,26
1916,16,26
1917,17,26
1918,18,26
1919,19,26
1920,20,26
1921,21,26
1922,22,26
1923,23,26
1924,24,26
1925,25,26
1926,26,26
1927,27,26
1928,28,26
1929,29,26
1930,30,26
1931,31,26
1932,32,26
1933,33,26
1934,34,26
1935,35,26
1936,36,26
